,vehicle_name,model,battery,seats,acceleration,top_speed,distance,efficiency,fast_charge,price_pounds,price_germany,price_netherland
0,Mercedes,EQS 580 4MATIC,107.8,5,4.3,210,610,177,800," £115,000","135,529"," €140,000"
1,Tesla,Model 3 Standard Range Plus LFP,52.5,5,5.6,225,350,150,560,"40,990","43,560","49,990"
2,Kia,EV6 GT,77.4,5,3.5,260,395,196,920,"58,295","65,990","63,595"
3,Tesla,Model Y Long Range Dual Motor,70,7,5.0,217,410,171,520," £54,000","59,965","65,010"
4,Tesla,Model 3 Long Range Dual Motor,70,5,4.4,233,455,154,570,"48,490",/A,/A
5,Tesla,Model 3 Standard Range Plus,51,5,5.6,225,350,146,700,"40,990","43,560","49,990"
6,Skoda,Enyaq iV 80,77,5,8.6,160,420,183,510,"39,365","43,950","47,780"
7,Dacia,Spring Electric,26.8,4,15.0,125,170,158,120,/A,"20,490","17,890"
8,Nissan,Leaf,37,5,7.9,144,225,164,230,"25,995","29,990","34,990"
9,Hyundai,Kona Electric 64 kWh,64,5,7.9,167,395,162,370,/A,"41,850","41,595"
10,Hyundai,IONIQ 5 Long Range AWD,72.6,5,5.2,185,375,194,870,"45,145","48,900","54,500"
11,Audi,e-tron GT RS,85,4,3.3,250,405,210,810,"110,950","138,200","146,295"
12,BMW,i4 eDrive40,80.7,5,5.7,190,475,170,660," £51,905","58,300","60,697"
13,Mercedes,EQA 250,66.5,5,8.9,160,355,187,420,"43,495","47,541","49,995"
14,Volkswagen,ID.4 1st,77,5,8.5,160,410,188,500,"40,800",/A,/A
15,Peugeot,e-208,45,5,8.1,150,275,164,370,"27,225","30,450","34,900"
16,MG,ZS EV,42.5,5,8.2,140,220,193,260,"25,995","31,990","30,985"
17,Mercedes,EQS 450+,107.8,5,6.2,210,640,168,840," £95,000","106,374"," €110,000"
18,Tesla,Model 3 Long Range Dual Motor,76,5,4.4,233,490,155,820,/A,"53,560","57,990"
19,Mazda,MX-30,30,5,9.7,140,170,176,180,"26,045","34,490","33,990"
20,Hyundai,IONIQ Electric,38.3,5,9.7,165,250,153,220,"30,550","35,350","37,015"
21,Hyundai,IONIQ 5 Long Range 2WD,72.6,5,7.4,185,385,189,890,"41,945","45,100","46,500"
22,Aiways,U5,63,5,7.5,150,335,188,350,/A,"35,993","39,950"
23,Volkswagen,e-Up!,32.3,4,11.9,130,205,158,170,/A,/A,"25,850"
24,Audi,Q4 e-tron 40,76.6,5,8.5,160,405,189,500,"44,990","47,500","52,815"
25,MG,Marvel R Performance,65,5,4.9,200,330,197,380,/A," €50,000"," €50,000"
26,Tesla,Model S Plaid,90,5,2.1,322,535,168,800,"118,980","126,990","131,000"
27,Honda,e,28.5,4,9.0,145,170,168,190,"27,660","33,850","35,820"
28,BMW,iX xDrive50,105.2,5,4.6,200,505,208,620,"91,905","98,000","105,472"
29,Citroen,e-C4,45,5,9.7,150,250,180,330,"30,895","34,640","33,990"
30,BMW,i3 120 Ah,37.9,4,7.3,150,235,161,270,"31,305","39,000","39,995"
31,Skoda,Enyaq iV 60,58,5,8.7,160,330,176,420,"32,010","38,850","40,780"
32,Renault,Zoe ZE50 R110,52,5,11.4,135,315,165,230,"26,795","31,990","33,990"
33,Kia,e-Niro 64 kWh,64,5,7.8,167,370,173,350,"32,445","39,090","38,995"
34,BMW,i4 M50,80.7,5,3.9,225,450,179,630," £63,905","69,900","73,496"
35,Tesla,Model 3 Performance,76,5,3.3,261,470,162,790,"59,990","58,560","64,990"
36,Porsche,Taycan Turbo S,83.7,4,2.8,260,390,215,860,"138,830","186,336","191,700"
37,Volkswagen,ID.4 Pro Performance,77,5,8.5,160,410,188,500,"41,570","44,450","47,790"
38,Audi,Q4 e-tron 35,51.5,5,9.0,160,280,184,390,"40,750","41,900","48,295"
39,Skoda,Enyaq iV Sportline 80x,77,5,6.9,160,400,193,490,"42,915","47,000"," €50,000"
40,Volkswagen,ID.4 GTX,77,5,6.2,180,400,193,490,"55,540","50,415","52,190"
41,Tesla,Cybertruck Tri Motor,200,6,3.0,210,750,267,710," £68,000"," €75,000"," €78,000"
42,Kia,EV6 Long Range 2WD,77.4,5,7.5,185,420,184,980," £48,000","54,990","52,095"
43,Opel,Corsa-e,45,5,8.1,150,275,164,370,"27,140","29,000","30,599"
44,Peugeot,e-2008 SUV,45,5,8.5,150,250,180,330,"30,730","35,450","40,930"
45,Nissan,Leaf e+,56,5,7.3,157,325,172,390,"30,445","38,350","41,940"
46,Tesla,Model Y Performance,76,7,3.7,241,430,177,720," £60,000","66,965","71,010"
47,Opel,Mokka-e,45,5,8.5,150,255,176,340,"30,540","34,110","34,399"
48,Audi,e-tron 55 quattro,86.5,5,5.7,200,365,237,590,"71,500",/A,/A
49,Hyundai,Kona Electric 64 kWh,64,5,7.9,167,395,162,370,"32,550","41,850"," €41,000"
50,Lightyear,One,60,5,10.0,150,575,104,540,/A," €149,000","149,990"
51,Fiat,500e Hatchback 42 kWh,37.3,4,9.0,150,250,149,420,"23,995","27,560","28,600"
52,Renault,Zoe ZE50 R135,52,5,9.5,140,310,168,230,"28,795","33,990","35,590"
53,Hyundai,IONIQ 5 Project 45,72.6,5,5.2,185,370,196,860,"48,000","59,550","58,995"
54,Kia,EV6 Long Range AWD,77.4,5,5.4,185,410,189,950," £52,000"," €56,000","54,595"
55,Audi,e-tron 50 quattro,64.7,5,6.8,190,280,231,470,"60,600","69,100","62,700"
56,Skoda,Enyaq iV 50,52,5,11.3,160,295,176,240,/A,"33,800"," €35,000"
57,Nissan,Ariya 87kWh,87,5,7.6,160,445,196,530," £45,000"," €50,000"," €48,000"
58,Audi,Q4 e-tron 50 quattro,76.6,5,6.2,180,385,199,470,"51,370","53,600","64,815"
59,Renault,Megane E-Tech Electric,60,5,8.0,160,335,179,480," £32,500"," €38,000"," €38,000"
60,Tesla,Model S Long Range,90,5,3.2,250,555,162,830,"83,980","86,990","91,000"
61,Renault,Twingo Electric,21.3,4,12.6,135,130,164,-,/A,"24,790","20,690"
62,Ford,Mustang Mach-E ER RWD,88,5,7.0,180,440,200,430,"49,980","54,475","58,575"
63,Volvo,XC40 Recharge Twin Pure Electric,75,5,4.9,180,340,221,440,"49,950","59,250","56,495"
64,Mercedes,EQC 400 4MATIC,80,5,5.1,180,370,216,440,"65,720","66,069","77,935"
65,Tesla,Roadster,200,4,2.1,410,970,206,920," £189,000"," €215,000"," €215,000"
66,Lucid,Air Grand Touring,110,5,3.2,270,660,167,1380," £125,000"," €140,000"," €140,000"
67,MG,MG5 Electric,57,5,8.3,180,340,168,440,/A," €35,000"," €35,000"
68,BMW,iX xDrive40,71,5,6.1,200,350,203,470,"69,905","77,300","86,972"
69,Hyundai,Kona Electric 39 kWh,39.2,5,9.9,155,250,157,210,/A,"34,850","36,795"
70,MG,MG5 EV,48.8,5,7.7,185,295,165,340,"25,095",/A,/A
71,Skoda,Enyaq iV RS,77,5,6.2,180,395,195,480," £46,000"," €50,000"," €55,000"
72,Renault,Zoe ZE40 R110,41,5,11.4,135,255,161,230,/A,"29,990",/A
73,Opel,Ampera-e,58,5,7.3,150,335,173,210,/A,"42,990",/A
74,Polestar,2 Long Range Dual Motor,75,5,4.7,205,395,190,510,"45,900","52,500","53,900"
75,Hyundai,IONIQ 5 Standard Range 2WD,58,5,8.5,185,310,187,720,"36,995","41,900","43,500"
76,Volkswagen,ID.3 Pro,58,5,9.6,160,350,166,540,"28,435","35,460","36,240"
77,Seres,3,52,5,8.9,155,270,193,390,/A,/A,"37,995"
78,Lexus,UX 300e,50,5,7.5,160,260,192,150,"43,900","47,550","39,990"
79,SEAT,Mii Electric,32.3,4,12.3,130,205,158,170,/A,"24,650",/A
80,Jaguar,I-Pace EV400,84.7,5,4.8,200,365,232,340,"65,195","77,300","83,072"
81,Mini,Cooper SE,28.9,4,7.3,150,185,156,260,"26,000","32,500","36,200"
82,Ford,Mustang Mach-E ER AWD,88,5,5.8,180,420,210,410,"57,030","62,900","67,640"
83,Ford,Mustang Mach-E SR RWD,68,5,6.9,180,345,197,380,"41,330","46,900","50,425"
84,Volvo,C40 Recharge,75,5,4.7,180,340,221,440,"57,400","62,050","57,995"
85,CUPRA,Born 170 kW - 82 kWh,77,5,7.0,160,450,171,550," £42,000"," €43,000"," €43,000"
86,Mercedes,EQV 300 Long,90,7,12.1,160,320,281,280,"70,665","71,388","74,609"
87,MG,MG5 EV Long Range,57,5,7.7,185,340,168,340,"26,495",/A,/A
88,Mercedes,EQA 350 4MATIC,66.5,5,6.0,160,350,190,420,/A,"56,216",/A
89,Audi,Q4 Sportback e-tron 40,76.6,5,8.5,160,425,180,520,/A,"49,500","54,865"
90,Fiat,500e Cabrio,37.3,4,9.0,150,245,152,410,"26,645","30,560","31,600"
91,Lucid,Air Pure,85,5,4.2,200,540,157,1410," £70,000"," €80,000"," €80,000"
92,Fiat,500e Hatchback 24 kWh,23.8,4,9.5,135,165,144,260,"20,495","23,560","24,900"
93,Polestar,2 Long Range Single Motor,75,5,7.4,160,425,176,550,"42,900","49,500","49,900"
94,Kia,e-Soul 64 kWh,64,5,7.9,167,370,173,350,"37,545",/A,/A
95,Volkswagen,ID.4 Pure,52,5,10.9,160,285,182,410,"32,150","36,950","40,690"
96,Porsche,Taycan 4S,71,4,4.0,250,375,189,750,"83,580","106,487","110,600"
97,CUPRA,Born 110 kW - 55 kWh,45,5,8.9,160,275,164,440," £28,500","32,700"," €33,000"
98,Audi,e-tron GT quattro,85,4,4.1,245,420,202,840,"79,900","99,800","104,895"
99,Mercedes,EQB 350 4MATIC,66.5,7,6.5,160,340,196,400," £50,000"," €60,000"," €60,000"
100,BMW,i3s 120 Ah,37.9,4,6.9,160,230,165,260,"32,305","42,600","43,690"
101,Nissan,e-NV200 Evalia,37,7,14.0,123,170,218,170,"30,255","43,433","45,173"
102,Volkswagen,ID.3 Pro S - 5 Seats,77,5,7.9,160,450,171,550,/A,"42,620","41,990"
103,Porsche,Taycan 4 Cross Turismo,83.7,4,5.1,220,405,207,850,"79,340","93,635","97,399"
104,MG,Marvel R,65,5,7.9,200,340,191,390,/A," €40,000"," €40,000"
105,Kia,EV6 Standard Range 2WD,58,5,8.5,185,320,181,740,"40,985","44,990","44,595"
106,Renault,Kangoo Maxi ZE 33,31,5,22.4,130,160,194,-,"31,680",/A,"38,801"
107,DS,3 Crossback E-Tense,45,5,8.7,150,250,180,330,"31,500","30,040","39,990"
108,Audi,e-tron Sportback 50 quattro,64.7,5,6.8,190,295,219,490," £69,100","71,350","65,100"
109,Tesla,Model X Plaid,90,7,2.6,262,455,198,680,"110,980","116,990","121,000"
110,Volkswagen,ID.3 Pure Performance,45,5,8.9,160,275,164,260,"27,135",/A,"33,490"
111,Volkswagen,ID.3 Pro Performance,58,5,7.3,160,350,166,540,"29,755","36,960","37,740"
112,Audi,e-tron Sportback 55 quattro,86.5,5,5.7,200,375,231,600,"79,900",/A,/A
113,Audi,Q4 Sportback e-tron 50 quattro,76.6,5,6.2,180,400,192,490,"52,870","55,600","66,865"
114,Hyundai,Kona Electric 39 kWh,39.2,5,9.9,155,250,157,210,"27,950","35,650"," €37,000"
115,Tesla,Model X Long Range,90,7,3.9,250,475,189,710,"90,980","95,990","101,000"
116,Volkswagen,ID.4 Pure Performance,52,5,9.0,160,285,182,410,"36,030","38,450","42,190"
117,Porsche,Taycan Plus,83.7,4,5.4,230,460,182,960,"74,739","89,244","93,244"
118,Audi,Q4 e-tron 45 quattro,76.6,5,6.9,180,385,199,470,/A,"50,900","58,065"
119,Ford,Mustang Mach-E GT,88,5,4.4,200,410,215,400," £67,225",/A," €75,490"
120,Smart,EQ forfour,16.7,4,12.7,130,95,176,-,"19,795","19,120","23,995"
121,Fiat,500e 3+1,37.3,4,9.0,150,245,152,410,/A,"29,560","30,600"
122,Mercedes,EQA 300 4MATIC,66.5,5,7.7,160,350,190,420,/A,"53,538",/A
123,Honda,e Advance,28.5,4,8.3,145,170,168,190,"30,160","38,000","39,080"
124,Polestar,2 Standard Range Single Motor,61,5,7.4,160,350,174,450,"39,900","46,500","45,900"
125,Tesla,Cybertruck Single Motor,100,6,7.0,180,390,256,740," £39,000"," €45,000"," €45,000"
126,Volkswagen,ID.3 Pro S - 4 Seats,77,4,7.9,160,450,171,550,"38,815","42,460",/A
127,Sono,Sion,47,5,9.0,140,260,181,310,/A,"25,500"," €26,000"
128,Ford,Mustang Mach-E SR AWD,68,5,6.3,180,330,206,360,"46,650","54,000","58,165"
129,Audi,Q4 Sportback e-tron 35,51.5,5,9.0,160,295,175,410,"42,250","43,900","50,345"
130,Nissan,Ariya e-4ORCE 87kWh,87,5,5.7,200,420,207,500," £52,500"," €57,500"," €52,000"
131,Tesla,Cybertruck Dual Motor,120,6,5.0,190,460,261,710," £48,000"," €55,000"," €56,000"
132,Smart,EQ fortwo coupe,16.7,2,11.6,130,100,167,-,"19,200","18,460","23,995"
133,Toyota,PROACE Verso M 75 kWh,65,8,13.1,130,250,260,290,/A,"64,530","58,995"
134,CUPRA,Born 150 kW - 62 kWh,58,5,7.3,160,350,166,440," £30,500","36,770"," €37,990"
135,Porsche,Taycan Turbo S Cross Turismo,83.7,4,2.9,250,380,220,790,"139,910","187,746","193,200"
136,Kia,e-Soul 64 kWh,64,5,7.9,167,370,173,350,/A,"37,790","36,495"
137,Nissan,Ariya 63kWh,63,5,7.5,160,335,188,450," £40,000"," €45,000"," €42,000"
138,Kia,e-Niro 39 kWh,39.2,5,9.8,155,235,167,230,"30,345","35,290","35,995"
139,Porsche,Taycan 4S Plus,83.7,4,4.0,250,435,192,910,"88,193","113,008","116,431"
140,Audi,e-tron S 55 quattro,86.5,5,4.5,210,320,270,510,"87,000","93,800","104,540"
141,Porsche,Taycan Turbo,83.7,4,3.2,260,400,209,840,"115,860","153,016","157,900"
142,Citroen,e-SpaceTourer M 75 kWh,65,9,13.3,130,250,260,290,/A,"57,440","62,026"
143,Hyundai,IONIQ 5 Standard Range AWD,58,5,6.1,185,305,190,710,/A,"45,700",/A
144,Lucid,Air Touring,85,5,3.4,250,530,160,1390," £90,000"," €95,000"," €100,000"
145,CUPRA,Born 170 kW - 62 kWh,58,5,6.6,160,345,168,430," £31,500"," €39,000"," €39,000"
146,Peugeot,e-Rifter Long 50 kWh,45,7,11.7,135,195,231,260,"32,455","42,590",/A
147,JAC,iEV7s,39,5,12.0,132,225,173,160,/A,/A,"32,210"
148,Byton,M-Byte 95 kWh 4WD,95,5,5.5,190,390,244,460," £60,000"," €64,000"," €65,000"
149,Audi,e-tron S Sportback 55 quattro,86.5,5,4.5,210,335,258,540,"88,700","96,050","106,940"
150,Porsche,Taycan,71,4,5.4,230,395,180,790,"70,690","83,520","87,200"
151,Kia,e-Soul 39 kWh,39.2,5,9.9,157,230,170,220,/A,"33,990","33,495"
152,Nissan,Ariya e-4ORCE 87kWh Performance,87,5,5.1,200,385,226,460," £57,500"," €65,000"," €60,000"
153,Peugeot,e-Traveller Standard 50 kWh,45,8,13.1,130,185,243,250,"49,065","55,900",/A
154,Audi,e-tron 55 quattro,86.5,5,5.7,200,365,237,590,/A,"81,500","71,500"
155,Nissan,Ariya e-4ORCE 63kWh,63,5,5.9,200,325,194,440," £45,000"," €50,000"," €45,000"
156,Peugeot,e-Rifter Standard 50 kWh,45,7,11.7,135,200,225,270,"30,375","37,590",/A
157,Citroen,e-SpaceTourer M 50 kWh,45,9,12.1,130,180,250,240,"31,995","51,440","53,011"
158,Mercedes,EQV 300 Extra-Long,90,7,12.1,160,320,281,280,/A,"72,281","75,674"
159,Audi,e-tron Sportback 55 quattro,86.5,5,5.7,200,375,231,600,/A,"83,750","73,900"
160,Toyota,PROACE Verso L 75 kWh,65,8,13.1,130,250,260,290,/A,"65,385","60,195"
161,Porsche,Taycan 4S Cross Turismo,83.7,4,4.1,240,405,207,850,"87,820","111,842","116,000"
162,Smart,EQ fortwo cabrio,16.7,2,11.9,130,95,176,-,"21,620","21,720","26,995"
163,Peugeot,e-Traveller Long 75 kWh,68,9,13.3,130,270,252,290,/A,"58,230",/A
164,Opel,Zafira-e Life L 75 kWh,65,9,13.3,130,250,260,290,/A,"60,625","63,150"
165,Peugeot,e-Traveller Standard 75 kWh,68,9,13.3,130,270,252,290,/A,"57,440",/A
166,Citroen,e-SpaceTourer XL 75 kWh,65,9,13.3,130,250,260,290,/A,"58,230","63,962"
167,Opel,Zafira-e Life M 75 kWh,65,9,13.3,130,250,260,290,/A,"59,800","62,061"
168,Byton,M-Byte 95 kWh 2WD,95,5,7.5,190,400,238,480," £57,500"," €62,000"," €62,500"
169,Peugeot,e-Traveller Long 50 kWh,45,8,13.1,130,185,243,250,"49,905","56,690",/A
170,Porsche,Taycan Turbo Cross Turismo,83.7,4,3.3,250,385,217,800,"116,950","154,444","159,300"
171,Byton,M-Byte 72 kWh 2WD,72,5,7.5,190,325,222,420," £50,000"," €53,500"," €55,000"
172,Opel,Zafira-e Life L 50 kWh,45,9,12.1,130,175,257,230,"49,465","54,625","54,196"
173,Toyota,PROACE Verso M 50 kWh,45,8,12.1,130,185,243,250,/A,"58,530",/A
174,Citroen,e-SpaceTourer XS 50 kWh,45,9,12.1,130,185,243,250,/A,"50,880",/A
175,Opel,Zafira-e Life S 50 kWh,45,9,12.1,130,185,243,250,/A,"56,700",/A
176,Citroen,e-SpaceTourer XL 50 kWh,45,9,12.1,130,175,257,230,/A,"52,230","54,947"
177,Opel,Zafira-e Life M 50 kWh,45,9,12.1,130,180,250,240,/A,"53,800","53,107"
178,Toyota,PROACE Verso L 50 kWh,45,8,12.1,130,180,250,240,/A,"59,385",/A
179,Peugeot,e-Traveller Compact 50 kWh,45,9,12.1,130,185,243,250,/A,"50,880",/A
180,BMW,iX3,74,5,6.8,180,385,192,520,"59,730","67,300","69,000"
